Team,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16
Arsenal,22,20,26,23,26,25,20,19,24,20,23,19,21,21,24,22,20
Aston Villa,15,13,12,12,15,12,10,11,16,17,17,12,7,10,10,10,3
Birmingham,,,,13,12,11,8,,8,,13,8,,,,,
Blackburn,,,12,16,12,9,19,15,15,10,13,11,8,,,,
Blackpool,,,,,,,,,,,,10,,,,,
Bolton,,,9,10,14,16,15,16,9,11,10,12,10,,,,
Bournemouth,,,,,,,,,,,,,,,,,11
Bradford,9,5,,,,,,,,,,,,,,,
Burnley,,,,,,,,,,,8,,,,,7,
Cardiff,,,,,,,,,,,,,,,7,,
Charlton,,14,10,14,14,12,13,8,,,,,,,,,
Chelsea,18,17,17,19,24,29,29,24,25,25,27,21,18,22,25,26,12
Coventry,12,8,,,,,,,,,,,,,,,
Crystal Palace,,,,,,7,,,,,,,,,13,13,11
Derby,9,10,8,,,,,,1,,,,,,,,
Everton,12,11,11,17,9,18,14,15,19,17,16,13,15,16,21,12,11
Fulham,,,10,13,14,12,14,,8,14,12,11,14,11,9,,
Hull,,,,,,,,,,8,6,,,,10,8,
Ipswich,,20,9,,,,,,,,,,,,,,
Leeds,19,20,18,14,8,,,,,,,,,,,,
Leicester,16,14,5,,6,,,,,,,,,,,11,23
Liverpool,19,20,24,18,16,17,25,20,21,25,18,17,14,16,26,18,16
Man City,,8,,15,9,13,13,11,15,15,18,21,28,23,27,24,19
Man United,28,24,24,25,23,22,25,28,27,28,27,23,28,28,19,20,19
Middlesbrough,14,9,12,13,13,14,12,12,10,7,,,,,,,
Newcastle,14,14,21,21,13,10,17,11,11,7,,11,19,11,15,10,9
Norwich,,,,,,7,,,,,,,12,10,8,,9
Portsmouth,,,,,12,10,10,14,16,10,7,,,,,,
QPR,,,,,,,,,,,,,10,4,,8,
Reading,,,,,,,,16,10,,,,,6,,,
Sheffield United,8,,,,,,,10,,,,,,,,,
Southampton,12,14,12,13,12,6,,,,,,,,9,15,18,18
Stoke,,,,,,,,,,12,11,13,11,9,13,15,14
Sunderland,16,15,10,4,,,3,,11,9,11,12,11,9,10,7,9
Swansea,,,,,,,,,,,,,12,11,11,16,12
Tottenham,15,13,14,14,13,14,18,17,11,14,21,16,20,21,21,19,19
Watford,6,,,,,,,5,,,,,,,,,12
West Brom,,,,6,,6,7,,,8,,12,13,14,7,11,10
West Ham,15,10,15,10,,,16,12,13,14,8,7,,12,11,12,16
Wigan,,,,,,,15,,10,12,9,9,11,9,,,
Wolves,,,,,7,,,,,,9,11,5,,,,
Wimbledon,7,,,,,,,,,,,,,,,,